quarter,day,team,targeted_productivity,standard_minute_value,work_in_progress,over_time,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
Quarter2,Tuesday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter4,Tuesday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,2,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Monday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Thursday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter2,Thursday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Monday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Wednesday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,2,54.2 - 71.6,0.69 - 0.84
Quarter3,Saturday,1,0.65 - 0.80,44.22 - 54.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Tuesday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Wednesday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Saturday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Monday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Saturday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Thursday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Thursday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Saturday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Saturday,6,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Sunday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Sunday,7,0.65 - 0.80,44.22 - 54.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Wednesday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Saturday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Saturday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Tuesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Monday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Monday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter4,Tuesday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Wednesday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Saturday,5,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Monday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Monday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Monday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Monday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Thursday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Saturday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Sunday,2,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Monday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Wednesday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Sunday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Tuesday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Tuesday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Wednesday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Saturday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Monday,11,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Saturday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Tuesday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Tuesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Monday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Thursday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Wednesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Wednesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Thursday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Monday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Wednesday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Saturday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Saturday,12,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Sunday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Saturday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Wednesday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Saturday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Sunday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Wednesday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Saturday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Sunday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Saturday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Saturday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Monday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Sunday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Monday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Saturday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Thursday,6,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Monday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Sunday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Monday,4,0.65 - 0.80,13.23 - 23.56,18499 - 23122,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Wednesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Tuesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Wednesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Thursday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Tuesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Thursday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Wednesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Tuesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Wednesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Tuesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Wednesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Saturday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Monday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Saturday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Monday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Monday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Sunday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Thursday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Tuesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Wednesday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Sunday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Sunday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter2,Monday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Monday,12,0.65 - 0.80,13.23 - 23.56,9253 - 13876,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Wednesday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Wednesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Thursday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter5,Thursday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Wednesday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Thursday,2,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Sunday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter4,Sunday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Thursday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,2,54.2 - 71.6,0.69 - 0.84
Quarter4,Wednesday,5,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Thursday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Saturday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Tuesday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Thursday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Thursday,12,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Saturday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,1,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,2,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Wednesday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Saturday,2,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Wednesday,2,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Sunday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Thursday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Saturday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Saturday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Monday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
