quarter,day,team,targeted_productivity,standard_minute_value,work_in_progress,over_time,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
Quarter1,Wednesday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Tuesday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Thursday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Thursday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter1,Saturday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter1,Saturday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter4,Saturday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,2,54.2 - 71.6,0.69 - 0.84
Quarter2,Tuesday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Sunday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter4,Wednesday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter4,Thursday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter2,Monday,3,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter4,Sunday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Wednesday,6,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.69 - 0.84
Quarter3,Wednesday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter3,Monday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Wednesday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter2,Saturday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.69 - 0.84
Quarter3,Monday,3,0.50 - 0.65,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,0 - 9,1,54.2 - 71.6,0.69 - 0.84
Quarter3,Wednesday,11,0.65 - 0.80,2.90 - 13.23,7 - 4630,0 - 5184,0 - 60,0 - 9,2,54.2 - 71.6,0.69 - 0.84
Quarter4,Thursday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Saturday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Saturday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Thursday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Thursday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Wednesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Saturday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Wednesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter3,Thursday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Thursday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Thursday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Sunday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Tuesday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Monday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Saturday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Thursday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Wednesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Wednesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter3,Wednesday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,71.6 - 89.0,0.84 - 1.00
Quarter3,Thursday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,4,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter3,Thursday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Wednesday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Tuesday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Thursday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Wednesday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Tuesday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Wednesday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Saturday,12,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter2,Monday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Wednesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Monday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Saturday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Saturday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,6,0.65 - 0.80,2.90 - 13.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter2,Tuesday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,1,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Tuesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Thursday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Saturday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Monday,10,0.65 - 0.80,13.23 - 23.56,18499 - 23122,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Saturday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Monday,3,0.65 - 0.80,13.23 - 23.56,18499 - 23122,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Wednesday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Wednesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Monday,2,0.65 - 0.80,13.23 - 23.56,18499 - 23122,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Thursday,9,0.65 - 0.80,23.56 - 33.90,7 - 4630,10368 - 15552,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Saturday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Sunday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Saturday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter3,Wednesday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Tuesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Saturday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Monday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Thursday,4,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Saturday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Thursday,8,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Tuesday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Saturday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Thursday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Tuesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Thursday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Wednesday,9,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.84 - 1.00
Quarter1,Tuesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Thursday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Wednesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Sunday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Thursday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Tuesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Saturday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Wednesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Wednesday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Wednesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Wednesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Saturday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Thursday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Saturday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter3,Sunday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter3,Monday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter3,Tuesday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Tuesday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter4,Tuesday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Wednesday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Thursday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Thursday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter5,Saturday,3,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Monday,1,0.65 - 0.80,13.23 - 23.56,13876 - 18499,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Sunday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter1,Wednesday,2,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00
Quarter2,Thursday,1,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.84 - 1.00